legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,genere,relazione_complesso
"Amadori Depero, Rosetta, (Rovereto 1893 - 1976)",,,,,,,,,,,,,,,,,,,,
Russolo,,,person,Luigi,Russolo,"Russolo, Luigi, pittore, (Portogruaro 1885 - Cerro di Laveno 1947)",SIUSA,,,1885 mag 07,1947 feb 04,luogo di nascita,Portogruaro (Venezia),luogo di nascita,Portogruaro (Venezia),"Pittore, artista, musicista, filosofo",,,maschile,ca-416084
Luigi,,,,,,,,,,,,,,luogo di morte,Cerro di Laveno (Varese),,,,,
"Russolo, Luigi, pittore, (Portogruaro 1885 - Cerro di Laveno 1947)",,,,,,,,,,,,,,,,,,,,
Zanovello,Zanovello Russolo Maria,,person,Maria,Zanovello,"Zanovello Russolo, Maria, (Milano 1876 - Laveno 1964)",SIUSA,,,1876 gen 18,1964 feb 29,luogo di nascita,Milano,luogo di nascita,Milano,"Insegnante, promotrice culturale",,,femminile,ca-416084
Maria,,,,,,,,,,,,,,luogo di morte,Laveno (Varese),,,,,
"Zanovello Russolo, Maria, (Milano 1876 - Laveno 1964)",,,,,,,,,,,,,,,,,,,,
Zanovello Russolo Maria,,,,,,,,,,,,,,,,,,,,
"Boccato, famiglia",,,family,,,"Boccato, famiglia, (1964 - 2004)",SIUSA,,,,,,,,,,,,,ca-416084
"Boccato, famiglia, (1964 - 2004)",,,,,,,,,,,,,,,,,,,,
"Boccato, Bruno, (1911 - Como 2003)",,,,,,,,,,,,,,,,,,,,
"Boccato Menegon, Nori, (1915 - Como 2006)",,,,,,,,,,,,,,,,,,,,
Federazione Italiana Donne Arti Professioni Affari - FIDAPA di Trento,International Federation of Business and Professional Women - BPW Italy,,corporateBody,,,"Federazione Italiana Donne Arti Professioni Affari - FIDAPA di Trento, Trento, 1965 -",SIUSA,1965 mag 21,,,,Sede,Trento,Sede,Trento,,privato,"ordine professionale, associazione di categoria",,ca-416166
"Federazione Italiana Donne Arti Professioni Affari - FIDAPA di Trento, Trento, 1965 -",,,,,,,,,,,,,,,,,,,,
International Federation of Business and Professional Women - BPW Italy,,,,,,,,,,,,,,,,,,,,
